Zak Butters (Port Adelaide)
Darcy Byrne-Jones (Port Adelaide)
Tom Clurey (Port Adelaide)
Charlie Dixon (Port Adelaide)
Willem Drew (Port Adelaide)
Xavier Duursma (Port Adelaide)
Francis Evans (Port Adelaide)
Orazio Fantasia (Port Adelaide)
Kane Farrell (Port Adelaide)
Jeremy Finlayson (Port Adelaide)
Mitch Georgiades (Port Adelaide)
Sam Hayes (Port Adelaide)
Jason Horne-Francis (Port Adelaide)
Dan Houston (Port Adelaide)
Tom Jonas (Port Adelaide)
Lachie Jones (Port Adelaide)
Ollie Lord (Port Adelaide)
Scott Lycett (Port Adelaide)
Todd Marshall (Port Adelaide)
Jed McEntee (Port Adelaide)
Trent McKenzie (Port Adelaide)
Jackson Mead (Port Adelaide)
Quinton Narkle (Port Adelaide)
Sam Powell-Pepper (Port Adelaide)
Willie Rioli (Port Adelaide)
Connor Rozee (Port Adelaide)
Josh Sinn (Port Adelaide)
Brynn Teakle (Port Adelaide)
Dante Visentini (Port Adelaide)
Dylan Williams (Port Adelaide)
Ollie Wines (Port Adelaide)
Liam Baker (Richmond)
Noah Balta (Richmond)
Sam Banks (Richmond)
Jacob Bauer (Richmond)
Shai Bolton (Richmond)
Nathan Broad (Richmond)
Tom Brown (Richmond)
Judson Clarke (Richmond)
Trent Cotchin (Richmond)
Matthew Coulthard (Richmond)
Noah Cumberland (Richmond)
Thomson Dow (Richmond)
Jack Graham (Richmond)
Dylan Grimes (Richmond)
Jacob Hopper (Richmond)
Tom Lynch (Richmond)
Rhyan Mansell (Richmond)
Dustin Martin (Richmond)
Kamdyn McIntosh (Richmond)
Ben Miller (Richmond)
Toby Nankervis (Richmond)
Marlion Pickett (Richmond)
Dion Prestia (Richmond)
Hugo Ralphsmith (Richmond)
Jack Riewoldt (Richmond)
Daniel Rioli (Richmond)
Maurice Rioli (Richmond)
Jack Ross (Richmond)
Samson Ryan (Richmond)
Jayden Short (Richmond)
Ivan Soldo (Richmond)
Tyler Sonsie (Richmond)
Tim Taranto (Richmond)
James Trezise (Richmond)
Nick Vlastuin (Richmond)
Tylar Young (Richmond)
Josh Battle (St Kilda)
Jack Billings (St Kilda)
Dan Butler (St Kilda)
Ryan Byrnes (St Kilda)
Jack Bytel (St Kilda)
Anthony Caminiti (St Kilda)
Hunter Clark (St Kilda)
Zaine Cordy (St Kilda)
Brad Crouch (St Kilda)
Jade Gresham (St Kilda)
Jack Hayes (St Kilda)
Jack Higgins (St Kilda)
Bradley Hill (St Kilda)
Dougal Howard (St Kilda)
Zak Jones (St Kilda)
Max King (St Kilda)
Rowan Marshall (St Kilda)
Tim Membrey (St Kilda)
Mitch Owens (St Kilda)
Ben Paton (St Kilda)
Jack Peris (St Kilda)
Mattaes Phillipou (St Kilda)
Sebastian Ross (St Kilda)
Cooper Sharman (St Kilda)
Jack Sinclair (St Kilda)
Jack Steele (St Kilda)
Liam Stocker (St Kilda)
Nasiah Wanganeen-Milera (St Kilda)
Jimmy Webster (St Kilda)
Callum Wilkie (St Kilda)
Marcus Windhager (St Kilda)
Mason Wood (St Kilda)
Joel Amartey (Sydney)
Nick Blakey (Sydney)
Jack Buller (Sydney)
Braeden Campbell (Sydney)
Ryan Clarke (Sydney)
Harry Cunningham (Sydney)
Oliver Florent (Sydney)
Robbie Fox (Sydney)
Aaron Francis (Sydney)
Will Gould (Sydney)
Errol Gulden (Sydney)
Will Hayward (Sydney)
Isaac Heeney (Sydney)
Tom Hickey (Sydney)
Peter Ladhams (Sydney)
Jake Lloyd (Sydney)
Lachlan McAndrew (Sydney)
Paddy McCartin (Sydney)
Tom McCartin (Sydney)
Logan McDonald (Sydney)
Justin McInerney (Sydney)
Hayden McLean (Sydney)
Lewis Melican (Sydney)
Callum Mills (Sydney)
Tom Papley (Sydney)
Luke Parker (Sydney)
Dane Rampe (Sydney)
Matt Roberts (Sydney)
James Rowbottom (Sydney)
Marc Sheather (Sydney)
Angus Sheldrick (Sydney)
Dylan Stephens (Sydney)
Chad Warner (Sydney)
Corey Warner (Sydney)
Sam Wicks (Sydney)
Oscar Allen (West Coast)
Harry Barnett (West Coast)
Tom Barrass (West Coast)
Rhett Bazzo (West Coast)
Campbell Chesser (West Coast)
Greg Clark (West Coast)
Tom Cole (West Coast)
Jamie Cripps (West Coast)
Jai Culley (West Coast)
Jack Darling (West Coast)
Liam Duggan (West Coast)
Harry Edwards (West Coast)
Luke Edwards (West Coast)
Luke Foley (West Coast)
Andrew Gaff (West Coast)
Reuben Ginbey (West Coast)
Elijah Hewett (West Coast)
Brady Hough (West Coast)
Jayden Hunt (West Coast)
Shannon Hurn (West Coast)
Callum Jamieson (West Coast)
Jamaine Jones (West Coast)
Tim Kelly (West Coast)
Noah Long (West Coast)
Ryan Maric (West Coast)
Jeremy McGovern (West Coast)
Xavier ONeill (West Coast)
Sam Petrevski-Seton (West Coast)
Jack Petruccelle (West Coast)
Josh Rotham (West Coast)
Liam Ryan (West Coast)
Dom Sheed (West Coast)
Luke Shuey (West Coast)
Zane Trew (West Coast)
Jake Waterman (West Coast)
Connor West (West Coast)
Bailey Williams (West Coast)
Jack Williams (West Coast)
Alex Witherden (West Coast)
Elliot Yeo (West Coast)
Oskar Baker (Western)
Marcus Bontempelli (Western)
Josh Bruce (Western)
Luke Cleary (Western)
Hayden Crozier (Western)
Bailey Dale (Western)
Caleb Daniel (Western)
Sam Darcy (Western)
Taylor Duryea (Western)
Tim English (Western)
Riley Garcia (Western)
Ryan Gardner (Western)
Mitch Hannan (Western)
Jason Johannisen (Western)
Arthur Jones (Western)
Liam Jones (Western)
Alex Keath (Western)
Buku Khamis (Western)
Tom Liberatore (Western)
Rory Lobb (Western)
Jack Macrae (Western)
Robbie McComb (Western)
Toby McLean (Western)
Lachlan McNeil (Western)
Aaron Naughton (Western)
Tim OBrien (Western)
James ODonnell (Western)
Caleb Poulter (Western)
Ed Richards (Western)
Anthony Scott (Western)
Bailey Smith (Western)
Adam Treloar (Western)
Jamarra Ugle-Hagan (Western)
Laitham Vandermeer (Western)
Cody Weightman (Western)
Rhylee West (Western)
Bailey Williams (Western)
